group,pucker,REFERENCE,B3LYP,DFTB,AM1,PM3,PM3MM,PM6
0_3-0,e3,0.0,n/a,3.57858,n/a,n/a,n/a,n/a
0_5-0,oh5/oe,0.0,0.55016,2.05469,n/a,n/a,n/a,n/a
0_6-0,oh1/oe,0.0,0.55895,2.0573,n/a,n/a,n/a,n/a
1_3-0,25b,0.0,0.52963,1.86087,4.498,4.09953,4.09953,4.38567
1_6-0,b14,0.0,0.53465,2.28183,4.498,4.09953,4.09953,4.38567
2_4-0,14b,0.0,0.53465,2.28138,4.498,4.09953,4.09953,4.38567
2_5-0,b25,0.0,0.52963,2.28137,4.498,4.09953,4.09953,4.38567
3_4-0,bo3,0.0,0.06132,2.31411,3.64004,n/a,3.35578,3.70279
3_7-0,5ho/eo,0.0,0.54389,2.05683,n/a,n/a,n/a,n/a
4_7-0,1ho/eo,0.0,0.55958,1.68227,n/a,n/a,n/a,n/a
5_6-0,3ob,0.0,0.06132,2.316,3.64004,n/a,n/a,3.70279
6_7-0,3e,0.0,1.19216,3.56414,n/a,n/a,n/a,n/a
