group,pucker,REFERENCE,B3LYP,DFTB,AM1,PM3,PM3MM,PM6
0_1-0,oh1/oe,0.0,0.55895,2.9093,n/a,n/a,n/a,n/a
0_2-0,oh5/oe,0.0,0.55016,2.90554,n/a,n/a,n/a,n/a
0_4-0,e3,0.0,n/a,n/a,n/a,n/a,n/a,n/a
0_4-1,2h3/e3,n/a,n/a,6.92142,n/a,n/a,n/a,n/a
1_2-0,3ob,0.0,0.06132,2.316,3.64004,n/a,n/a,3.70279
1_6-0,b14,0.0,0.53465,3.22698,4.498,4.09953,4.09953,4.38567
1_7-0,3e,0.0,1.19216,3.56414,n/a,n/a,n/a,n/a
2_5-0,b25,0.0,0.52963,3.22635,4.498,4.09953,4.09953,4.38567
3_4-0,bo3,0.0,0.06132,2.31411,3.64004,n/a,3.35578,3.70279
3_5-0,14b,0.0,0.53465,3.22635,4.498,4.09953,4.09953,4.38567
3_7-0,1ho/eo,0.0,0.55958,2.9134,n/a,n/a,n/a,n/a
4_6-0,25b,0.0,0.52963,3.22311,4.498,4.09953,4.09953,4.38567
4_7-0,5ho/eo,0.0,0.54389,2.90867,n/a,n/a,n/a,n/a
