LM1,TS,LM2,REF,B3LYP,DFTB,AM1,PM3,PM3MM,PM6
3s1,3h2,1c4,0.379,0.279,0.23,n/a,n/a,n/a,n/a
os2,3h2,1c4,0.379,0.279,0.23,n/a,n/a,n/a,n/a
os2,b25,1c4,0.193,0.329,n/a,0.324,0.171,0.171,n/a
1s3,eo,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a
bo3,eo,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a
1s3,14b,1c4,n/a,n/a,n/a,n/a,n/a,n/a,0.186
1s3,1h2,1c4,n/a,n/a,0.136,n/a,n/a,n/a,n/a
1s3,1ho,1c4,n/a,n/a,n/a,n/a,n/a,n/a,0.13
1s5,1h2,1c4,n/a,n/a,0.136,n/a,n/a,n/a,n/a
1s3,5e,1c4,n/a,n/a,n/a,0.158,0.146,0.146,0.436
bo3,5h4,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a
25b,5h4,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a
bo3,5e,1c4,n/a,n/a,n/a,0.158,0.146,0.146,n/a
3s1,3h4,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a
25b,5e,1c4,n/a,n/a,n/a,0.158,0.146,0.146,n/a
bo3,1ho,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a
bo3,1h2,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a
3s1,5h4,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a
5s1,5h4,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a
3s1,5e,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a
1s3,5h4,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a
5s1,5e,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a
1s5,1ho,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a
5s1,25b,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a
os2,1h2,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a
3s1,3s1,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a
os2,3h4,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a
bo3,1s3,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a
1e,1h2,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a
os2,3ob,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a
1s5,b25,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a
1s5,3h2,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a
5s1,3s1,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a
1s3,1c4,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a
3s1,3ob,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a
