method,REF,B3LYP,APFD,DFTB,AM1,PM3,PM3MM,PM6
4c1,0.39623,3.83041,3.55521,2.29307,2.76161,1.32828,1.30731,5.27032
4h5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.0
1s3,0.0502,2.78159,2.09094,2.64505,3.4761,2.02295,2.02295,2.47947
b14,0.10139,0.75248,0.28363,n/a,4.37244,6.14369,6.14369,n/a
2so,0.0,2.62533,2.53741,1.25905,2.16113,2.00387,1.92469,1.57829
3ob,0.13305,1.71934,1.53441,4.62105,4.90322,5.12552,5.05821,4.36282
1s5,1.6055,2.36848,1.5887,3.34556,3.94579,4.1579,4.1579,3.87775
b25,n/a,n/a,n/a,n/a,0.0,0.0,0.0,0.0
5s1,0.47396,1.88142,1.95709,3.96541,6.51344,5.82966,5.82966,n/a
os2,0.23184,1.00927,1.53336,4.72392,4.48478,4.56026,4.48465,4.65957
5e,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.0
1c4,0.53385,3.20131,1.77321,1.38041,1.63959,1.34764,1.50572,1.3962
